timestamp,determinand,units,Operator,result,Latitude,Longitude
17/02/2020 10:31:00,E.coli,/100ml,,20,54.81709,-1.9220989
17/02/2020 10:30:00,E.coli,/100ml,,0,55.556879,-1.9587881
17/02/2020 14:07:00,E.coli,/100ml,,30,55.237793,-1.9226023
17/02/2020 08:58:00,E.coli,/100ml,,100,55.318993,-2.3721957
17/02/2020 11:03:00,E.coli,/100ml,,140,55.233688,-2.1904957
17/02/2020 11:03:00,phosphorus (total),ug/l P,,20,55.233688,-2.1904957
17/02/2020 09:54:00,E.coli,/100ml,,110,55.275089,-2.265507
20/02/2020 11:35:00,E.coli,/100ml,,0,55.079477,-2.3205181
18/02/2020 12:21:00,E.coli,/100ml,,0,55.73145,-2.0476003
18/02/2020 12:03:00,E.coli,/100ml,,80,54.748787,-2.2304038
18/02/2020 11:50:00,E.coli,/100ml,,0,55.73145,-2.0476003
20/02/2020 14:06:00,E.coli,/100ml,,40,55.077183,-2.1418863
19/02/2020 10:40:00,E.coli,/100ml,,0,55.73145,-2.0476003
19/02/2020 11:41:00,E.coli,/100ml,,0,55.73145,-2.0476003
19/02/2020 08:59:00,E.coli,/100ml,,0,54.520883,-1.6057928
19/02/2020 10:55:00,E.coli,/100ml,,0,55.73145,-2.0476003
19/02/2020 10:58:00,E.coli,/100ml,,0,55.73145,-2.0476003
19/02/2020 08:10:00,E.coli,/100ml,,7800,54.837556,-1.5317023
19/02/2020 09:28:00,E.coli,/100ml,,1350,55.346692,-1.6287967
19/02/2020 08:20:00,E.coli,/100ml,,740,54.99968,-1.8842609
19/02/2020 08:20:00,phosphorus (total),ug/l P,,58,54.99968,-1.8842609
19/02/2020 08:59:00,E.coli,/100ml,,110,54.559989,-1.9843955
19/02/2020 09:55:00,E.coli,/100ml,,0,55.73145,-2.0476003
20/02/2020 08:23:00,E.coli,/100ml,,250,54.984881,-1.85266
18/02/2020 10:31:00,E.coli,/100ml,,0,54.81356,-2.304528
20/02/2020 10:37:00,E.coli,/100ml,,100,54.520785,-1.6057937
20/02/2020 10:37:00,phosphorus (total),ug/l P,,29,54.520785,-1.6057937
18/02/2020 12:33:00,E.coli,/100ml,,0,54.802831,-2.2357827
